station_id,stationame,month_beginning,avg_weekday_rides,avg_saturday_rides,avg_sunday-holiday_rides,monthtotal
40370,Washington/Dearborn,02/01/2003,"8,855.5","2,522.5","1,500.3","193,201"
40790,Monroe/Dearborn,02/01/2003,"5,593.1","1,225.5",723.5,"119,657"
40070,Jackson/Dearborn,02/01/2003,"7,486.5","2,126.5","1,316.5","163,501"
40730,Washington/Wells,02/01/2003,"6,718.3",750.3,379.8,"138,885"
40040,Quincy/Wells,02/01/2003,"6,915.4",900.3,699,"144,704"
40160,LaSalle/Van Buren,02/01/2003,"3,109",292.5,154.3,"63,967"
40850,Library,02/01/2003,"2,573.2",737,368,"55,883"
40680,Adams/Wabash,02/01/2003,"6,773","2,296.5","1,302.3","149,855"
40260,State/Lake,02/01/2003,"7,857.3","3,788.3","2,573.5","182,592"
40380,Clark/Lake,02/01/2003,"14,212.1","2,449.5","1,678.8","300,754"
41660,Lake/State,03/01/2003,"13,129.1","6,755.2","4,476.2","331,869"
41090,Monroe/State,03/01/2003,"6,453.8","2,792.2","1,481.2","156,896"
